,loss
0,2.6735875606536865
1,1.8595638275146484
2,1.4901117086410522
3,1.3996046781539917
4,1.362623691558838
5,1.3437916040420532
6,1.3304096460342407
7,1.3242295980453491
8,1.3174504041671753
9,1.3098748922348022
10,1.3038183450698853
11,1.2996885776519775
12,1.2958793640136719
13,1.2913599014282227
14,1.2867151498794556
15,1.28155517578125
16,1.2771177291870117
17,1.2755367755889893
18,1.2738049030303955
19,1.2684645652770996
20,1.265945553779602
21,1.260675311088562
22,1.2584466934204102
23,1.2547011375427246
24,1.2527002096176147
25,1.2499558925628662
26,1.246094822883606
27,1.2447689771652222
28,1.2419734001159668
29,1.2379776239395142
30,1.2373591661453247
31,1.2345635890960693
32,1.2318198680877686
33,1.229745626449585
34,1.228695034980774
35,1.2243013381958008
36,1.2242708206176758
37,1.2198548316955566
38,1.2160879373550415
39,1.2147330045700073
40,1.2121236324310303
41,1.2106982469558716
42,1.2067511081695557
43,1.2028683423995972
44,1.2009886503219604
45,1.195845603942871
46,1.1928833723068237
47,1.1890779733657837
48,1.1837241649627686
49,1.1795244216918945
50,1.1755834817886353
51,1.1699178218841553
52,1.1652251482009888
53,1.157921552658081
54,1.1498079299926758
55,1.1446484327316284
56,1.1372361183166504
57,1.1286588907241821
58,1.1203861236572266
59,1.1085180044174194
60,1.0979093313217163
61,1.0866285562515259
62,1.0773290395736694
63,1.0628018379211426
64,1.0471667051315308
65,1.0365248918533325
66,1.022297978401184
67,1.0044368505477905
68,0.9911214709281921
69,0.9726438522338867
70,0.9592340588569641
71,0.9406061172485352
72,0.9249582290649414
73,0.9053398370742798
74,0.8871193528175354
75,0.8719927668571472
76,0.8569502234458923
77,0.8374329805374146
78,0.8199748992919922
79,0.803987979888916
80,0.7845913767814636
81,0.7722307443618774
82,0.7566565871238708
83,0.7446313500404358
84,0.7294363975524902
85,0.713995099067688
86,0.7008621096611023
87,0.691111147403717
88,0.673439621925354
89,0.6622520089149475
90,0.6508527398109436
91,0.6375969648361206
92,0.6255475282669067
93,0.615924060344696
94,0.6052883267402649
95,0.5951613187789917
96,0.5866976380348206
97,0.5778976082801819
98,0.5667155385017395
99,0.5556509494781494
100,0.546988308429718
101,0.5396221876144409
102,0.5307555198669434
103,0.5242471098899841
104,0.5172948837280273
105,0.5153788924217224
106,0.505692720413208
107,0.5017221570014954
108,0.49346068501472473
109,0.48590022325515747
110,0.48187142610549927
111,0.47690123319625854
112,0.4744702875614166
113,0.46691322326660156
114,0.4601711332798004
115,0.45336130261421204
116,0.44703546166419983
117,0.44635534286499023
118,0.4396551549434662
119,0.43183526396751404
120,0.43046796321868896
121,0.4254383444786072
122,0.421636700630188
123,0.41742607951164246
124,0.41653892397880554
125,0.4141044616699219
126,0.4127655029296875
127,0.4083067774772644
128,0.40488529205322266
129,0.4032772481441498
130,0.4011451303958893
131,0.3968689739704132
132,0.39441683888435364
133,0.3927496373653412
134,0.38636600971221924
135,0.3855266571044922
136,0.3837745785713196
137,0.38240134716033936
138,0.37887147068977356
139,0.37420469522476196
140,0.37118780612945557
141,0.3706913888454437
142,0.37057000398635864
143,0.3716721534729004
144,0.3689214289188385
145,0.36528775095939636
146,0.36231908202171326
147,0.35955020785331726
148,0.35866647958755493
149,0.3559097647666931
150,0.35514548420906067
151,0.35409653186798096
152,0.3511981964111328
153,0.3496853709220886
154,0.3504531979560852
155,0.3514038920402527
156,0.35055893659591675
157,0.3484077453613281
158,0.3447257876396179
159,0.3428146243095398
160,0.3403852581977844
161,0.340711385011673
162,0.33703383803367615
163,0.3398728370666504
164,0.3369005620479584
165,0.33282139897346497
166,0.33290138840675354
167,0.3301656246185303
168,0.3285537660121918
169,0.3310796618461609
170,0.3280656039714813
171,0.32998934388160706
172,0.3280704915523529
173,0.32497623562812805
174,0.32665932178497314
175,0.3246767520904541
176,0.3242822587490082
177,0.31972452998161316
178,0.3223838806152344
179,0.3220294117927551
180,0.3207899332046509
181,0.32294604182243347
182,0.3196800649166107
183,0.3181264102458954
184,0.31510311365127563
185,0.3136909008026123
186,0.3150269687175751
187,0.31654468178749084
188,0.31355834007263184
189,0.31017735600471497
190,0.314837783575058
191,0.30940181016921997
192,0.30976659059524536
193,0.3080666661262512
194,0.3063896596431732
195,0.30677562952041626
196,0.30658239126205444
197,0.30620643496513367
198,0.3050536811351776
199,0.306506872177124
