,loss
0,17.678199768066406
1,17.574966430664062
2,17.55984878540039
3,17.54998016357422
4,17.538311004638672
5,17.526086807250977
6,17.516511917114258
7,17.508216857910156
8,17.49834632873535
9,17.4907169342041
10,17.48370361328125
11,17.475900650024414
12,17.46953773498535
13,17.46283721923828
14,17.45697784423828
15,17.451404571533203
16,17.44455337524414
17,17.439916610717773
18,17.4351749420166
19,17.430143356323242
20,17.425683975219727
21,17.420419692993164
22,17.416202545166016
23,17.411762237548828
24,17.40927505493164
25,17.404056549072266
26,17.400400161743164
27,17.397069931030273
28,17.393692016601562
29,17.391239166259766
30,17.38620948791504
31,17.38386344909668
32,17.380111694335938
33,17.377229690551758
34,17.37505340576172
35,17.37210464477539
36,17.36904525756836
37,17.367446899414062
38,17.36397361755371
39,17.362361907958984
40,17.35929298400879
41,17.355493545532227
42,17.355192184448242
43,17.352638244628906
44,17.349987030029297
45,17.347957611083984
46,17.345989227294922
47,17.344568252563477
48,17.342252731323242
49,17.339805603027344
50,17.337371826171875
51,17.33626937866211
52,17.33457374572754
53,17.333309173583984
54,17.330245971679688
55,17.328493118286133
56,17.327253341674805
57,17.325958251953125
58,17.32396125793457
59,17.3226318359375
60,17.321781158447266
61,17.320043563842773
62,17.3181095123291
63,17.316524505615234
64,17.316892623901367
65,17.31426239013672
66,17.312498092651367
67,17.311256408691406
68,17.310508728027344
69,17.309185028076172
70,17.307872772216797
71,17.30695152282715
72,17.30519676208496
73,17.30551528930664
74,17.304851531982422
75,17.303138732910156
76,17.301288604736328
77,17.299280166625977
78,17.299373626708984
79,17.29787254333496
80,17.297550201416016
81,17.29594612121582
82,17.295942306518555
83,17.29425048828125
84,17.29308319091797
85,17.292362213134766
86,17.29178810119629
87,17.28976058959961
88,17.290145874023438
89,17.289478302001953
90,17.287029266357422
91,17.288312911987305
92,17.28556251525879
93,17.284433364868164
94,17.284954071044922
95,17.284223556518555
96,17.283601760864258
97,17.282398223876953
98,17.281904220581055
99,17.28057861328125
100,17.280406951904297
101,17.279136657714844
102,17.280010223388672
103,17.278568267822266
104,17.27694320678711
105,17.27696990966797
106,17.27596664428711
107,17.27619743347168
108,17.27501678466797
109,17.27507209777832
110,17.2746639251709
111,17.2738037109375
112,17.2730770111084
113,17.2711181640625
114,17.27155303955078
115,17.2708740234375
116,17.271087646484375
117,17.269245147705078
118,17.270170211791992
119,17.269201278686523
120,17.26801300048828
121,17.267915725708008
122,17.26749038696289
123,17.26689338684082
124,17.266395568847656
125,17.26643943786621
126,17.265541076660156
127,17.265445709228516
128,17.264528274536133
129,17.2637939453125
130,17.263601303100586
131,17.262910842895508
132,17.262502670288086
133,17.263063430786133
134,17.262441635131836
135,17.261714935302734
136,17.261215209960938
137,17.26177215576172
138,17.259841918945312
139,17.25920867919922
140,17.259462356567383
141,17.25884246826172
142,17.259244918823242
143,17.258411407470703
144,17.25736427307129
145,17.258201599121094
146,17.257164001464844
147,17.256879806518555
148,17.256057739257812
149,17.25631332397461
150,17.25681495666504
151,17.255218505859375
152,17.254989624023438
153,17.255313873291016
154,17.254169464111328
155,17.254589080810547
156,17.253625869750977
157,17.25396728515625
158,17.253061294555664
159,17.253021240234375
160,17.25337791442871
161,17.25297737121582
162,17.252756118774414
163,17.2514591217041
164,17.251001358032227
165,17.25094223022461
166,17.251461029052734
167,17.249298095703125
168,17.25038719177246
169,17.250314712524414
170,17.250852584838867
171,17.250417709350586
172,17.248371124267578
173,17.24881935119629
174,17.249252319335938
175,17.248001098632812
176,17.248960494995117
177,17.247838973999023
178,17.248411178588867
179,17.247400283813477
180,17.247726440429688
181,17.247854232788086
182,17.2479305267334
183,17.247520446777344
184,17.247249603271484
185,17.245662689208984
186,17.24666404724121
187,17.245494842529297
188,17.245901107788086
189,17.245433807373047
190,17.245113372802734
191,17.24494171142578
192,17.245325088500977
193,17.2449951171875
194,17.24488639831543
195,17.244768142700195
196,17.244104385375977
197,17.24427604675293
198,17.243671417236328
199,17.243314743041992
